filename,command,timestamp
2_speech_true_Ofen_aus,Fernseher aus,5.551282051282051
3_speech_true_Radio_an,Radio an,22.371794871794872
4_speech_true_Alarm_an,Fernseher aus,14.320512820512821
4_speech_true_Alarm_an,Alarm an,15.166666666666666
19_speech_false_Lüftung_aus,Lüftung aus,9.115384615384615
22_speech_false_Heizung_an,Heizung an,7.32051282051282
24_speech_true_Licht_an,Licht an,13.294871794871796
27_speech_false_Fernseher_an_Licht_aus,Fernseher an,5.1923076923076925
27_speech_false_Fernseher_an_Licht_aus,Lüftung aus,13.756410256410257
28_speech_true_Heizung_aus,Heizung aus,0.5769230769230769
28_speech_true_Heizung_aus,Staubsauger aus,7.910256410256411
29_speech_false_Lüftung_an,Lüftung aus,4.346153846153847
30_speech_false_Heizung_aus_Licht_an,Staubsauger aus,5.833333333333333
30_speech_false_Heizung_aus_Licht_an,Lüftung aus,21.78205128205128
32_speech_true_Ofen_an_Alarm_aus,Ofen aus,5.833333333333333
34_speech_false_Radio_aus_Radio_an,Heizung aus,4.115384615384615
34_speech_false_Radio_aus_Radio_an,Radio aus,11.448717948717949
35_speech_false_Ofen_aus,Licht aus,1.141025641025641
35_speech_false_Ofen_aus,Licht aus,3.1153846153846154
35_speech_false_Ofen_aus,Licht aus,4.012820512820513
35_speech_false_Ofen_aus,Lüftung aus,10.012820512820513
36_speech_false_Radio_an,Radio an,11.756410256410257
37_speech_true_Radio_aus_Alarm_an,Radio aus,14.679487179487179
37_speech_true_Radio_aus_Alarm_an,Alarm an,16.55128205128205
39_speech_false_Alarm_aus,Alarm aus,13.5
40_speech_false_Staubsauger_aus_Heizung_an,Heizung an,19.96153846153846
42_speech_true_Ofen_aus,Ofen aus,6.910256410256411
43_speech_false_Ofen_an,Lüftung an,1.5769230769230769
47_speech_false_Radio_aus_Licht_aus,Licht aus,11.628205128205128
48_speech_true_Staubsauger_an_Alarm_an,Ofen an,2.7564102564102564
48_speech_true_Staubsauger_an_Alarm_an,Staubsauger an,9.602564102564102
48_speech_true_Staubsauger_an_Alarm_an,Alarm an,11.73076923076923
49_speech_true_Heizung_aus,Heizung aus,9.756410256410257
50_speech_true_Fernseher_an,Fernseher an,8.807692307692308
51_speech_true_Lüftung_an,Lüftung an,11.807692307692308
52_speech_true_Heizung_an,Heizung an,10.217948717948717
53_speech_true_Licht_aus_Alarm_aus,Licht aus,11.679487179487179
53_speech_true_Licht_aus_Alarm_aus,Alarm aus,13.397435897435898
54_speech_true_Ofen_aus,Ofen aus,14.935897435897436
65_speech_false_Fernseher_aus,Fernseher aus,8.782051282051283
72_speech_true_Ofen_an,Radio aus,4.987179487179487
74_speech_true_Staubsauger_aus_Ofen_aus,Alarm an,0.9615384615384616
85_speech_false_Fernseher_an,Fernseher an,9.833333333333334
88_speech_true_Lüftung_an,Lüftung an,9.064102564102564
89_speech_true_Heizung_aus,Staubsauger aus,11.115384615384615
93_speech_false_Alarm_aus,Alarm aus,2.2948717948717947
96_speech_false_Licht_an_Heizung_an,Lüftung an,14.5
96_speech_false_Licht_an_Heizung_an,Heizung an,18.576923076923077
97_speech_false_Lüftung_aus_Fernseher_an,Lüftung aus,2.5
97_speech_false_Lüftung_aus_Fernseher_an,Fernseher an,12.038461538461538
97_speech_false_Lüftung_aus_Fernseher_an,Heizung an,14.935897435897436
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Lüftung aus,4.166666666666666
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Alarm aus,11.91025641025641
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Lüftung aus,14.679487179487179
98_speech_true_Alarm_aus_Lüftung_aus_Heizung_aus,Heizung aus,20.44871794871795
99_speech_false_Heizung_an_Staubsauger_an_Lüftung_aus,Heizung an,5.858974358974359
99_speech_false_Heizung_an_Staubsauger_an_Lüftung_aus,Staubsauger aus,14.423076923076923
99_speech_false_Heizung_an_Staubsauger_an_Lüftung_aus,Lüftung aus,23.884615384615383
104_speech_false_Heizung_an_Staubsauger_an,Heizung an,3.4743589743589745
104_speech_false_Heizung_an_Staubsauger_an,Staubsauger an,16.833333333333332
105_speech_true_Heizung_an,Staubsauger an,7.576923076923077
107_speech_true_Lüftung_an,Staubsauger aus,4.8076923076923075
120_speech_true_Licht_an,Lüftung an,14.576923076923077
121_speech_true_Heizung_an,Alarm aus,4.064102564102564
121_speech_true_Heizung_an,Heizung an,9.935897435897436
123_speech_true_Fernseher_an,Fernseher an,17.03846153846154
